"","year","month","day","districts","no.of.dist","District","Count","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"94",2025,4,4,"Tangail, Chattogram, Mymensingh ",3,"",0,"Tangail","Chattogram","Mymensingh","","","","","",""
"95",2025,4,5,"Pabna, Shariatpur, Patuakhali, Meherpur, Chuadanga, Mymensingh, Dhaka, Magura ",8,"",0,"Pabna","Shariatpur","Patuakhali","Meherpur","Chuadanga","Mymensingh","Dhaka","Magura",""
"96",2025,4,6,"Sirajganj, Brahmanbaria ",2,"",0,"Sirajganj","Brahmanbaria","","","","","","",""
"97",2025,4,7,"Rajshahi, Cox’s Bazar, Rajbari, Barishal, Lalmonirhat ",5,"",0,"Rajshahi","Cox’s","Bazar","Rajbari","Barishal","Lalmonirhat","","",""
"98",2025,4,8,"Faridpur, Mymensingh, Barguna, Brahmanbaria, Tangail, Meherpur ",6,"",0,"Faridpur","Mymensingh","Barguna","Brahmanbaria","Tangail","Meherpur","","",""
"99",2025,4,9,"Brahmanbaria, Patuakhali, Dinajpur, Pabna, Bogura, Chattogram, Chuadanga ",7,"",0,"Brahmanbaria","Patuakhali","Dinajpur","Pabna","Bogura","Chattogram","Chuadanga","",""
"100",2025,4,10,"Cumilla, Bogura, Sylhet, Patuakhali ",4,"",0,"Cumilla","Bogura","Sylhet","Patuakhali","","","","",""
"101",2025,4,11,"Bogura, Faridpur, Jashore, Madaripur ",4,"",0,"Bogura","Faridpur","Jashore","Madaripur","","","","",""
"102",2025,4,12,"Brahmanbaria, Sylhet, Kushtia, Khulna, Jamalpur ",5,"",0,"Brahmanbaria","Sylhet","Kushtia","Khulna","Jamalpur","","","",""
"103",2025,4,13,"Jhalakathi  Bagerhat, Madaripur, Moulvibazar, Dinajpur ",4,"",0,"Jhalakathi","Bagerhat","Madaripur","Moulvibazar","Dinajpur","","","",""
"104",2025,4,14,"",1,"",0,"#VALUE!","","","","","","","",""
"105",2025,4,15,"Kushtia, Sylhet, Kishoreganj, Gazipur, Chattogram ",5,"",0,"Kushtia","Sylhet","Kishoreganj","Gazipur","Chattogram","","","",""
"106",2025,4,16,"Noakhali, Noagaon, Cox’s Bazar, Rangpur, Chattogram, Satkhira ",6,"",0,"Noakhali","Noagaon","Cox’s","Bazar","Rangpur","Chattogram","Satkhira","",""
"107",2025,4,17,"",1,"",0,"#VALUE!","","","","","","","",""
"108",2025,4,18,"",1,"",0,"#VALUE!","","","","","","","",""
"109",2025,4,19,"",1,"",0,"#VALUE!","","","","","","","",""
"110",2025,4,20,"",1,"",0,"#VALUE!","","","","","","","",""
"111",2025,4,21,"",1,"",0,"#VALUE!","","","","","","","",""
"112",2025,4,22,"",1,"",0,"#VALUE!","","","","","","","",""
"113",2025,4,23,"",1,"",0,"#VALUE!","","","","","","","",""
"114",2025,4,24,"",1,"",0,"#VALUE!","","","","","","","",""
"115",2025,4,25,"",1,"",0,"#VALUE!","","","","","","","",""
"116",2025,4,26,"",1,"",0,"#VALUE!","","","","","","","",""
"117",2025,4,27,"",1,"",0,"#VALUE!","","","","","","","",""
"118",2025,4,28,"",1,"",0,"#VALUE!","","","","","","","",""
"119",2025,4,29,"",1,"",0,"#VALUE!","","","","","","","",""
"120",2025,4,30,"",1,"",0,"#VALUE!","","","","","","","",""
"121",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"122",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"123",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"124",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"125",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"126",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"127",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"128",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"129",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"130",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"131",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"132",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"133",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"134",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"135",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"136",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"137",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"138",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"139",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"140",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"141",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"142",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"143",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"144",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"145",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"146",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"147",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"148",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"149",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"150",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"151",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"152",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"153",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"154",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"155",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"156",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"157",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"158",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"159",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"160",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"161",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"162",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"163",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"164",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"165",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"166",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"167",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"168",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"169",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"170",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"171",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"172",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"173",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"174",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"175",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"176",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"177",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"178",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"179",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"180",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"181",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"182",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"183",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"184",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"185",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"186",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"187",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"188",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"189",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"190",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"191",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"192",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"193",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"194",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"195",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"196",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"197",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"198",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"199",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"200",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"201",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"202",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"203",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"204",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"205",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"206",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"207",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"208",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"209",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"210",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"211",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"212",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"213",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"214",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"215",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"216",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"217",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"218",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"219",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"220",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"221",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"222",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"223",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"224",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"225",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
"226",2025,NA,NA,"",1,"",0,"#VALUE!","","","","","","","",""
