"","Start_Time","Start_Lat","Start_Lng","City","County","State","Weather_Timestamp","Temperature.F.","Humidity...","Weather_Condition","Time","... <- NULL"
"73","2016-02-10 06:06:00",39.973797,-83.022285,"Columbus","Franklin","OH","2016-02-10 06:19:00",15.8,73,"Light Snow","06:06:00","06:19:00"
"74","2016-02-10 06:24:29",40.048008,-82.86422,"Columbus","Franklin","OH","2016-02-10 06:19:00",15.8,73,"Light Snow","06:24:29","06:19:00"
"75","2016-02-10 06:53:02",39.814526,-84.021744,"Fairborn","Greene","OH","2016-02-10 06:58:00",15.4,82,"Light Snow","06:53:02","06:58:00"
"76","2016-02-10 07:50:52",40.151196,-84.220032,"Piqua","Miami","OH","2016-02-10 07:55:00",14,93,"Light Snow","07:50:52","07:55:00"
"77","2016-02-10 07:50:08",39.954617,-82.844238,"Columbus","Franklin","OH","2016-02-10 07:51:00",15.1,77,"Light Snow","07:50:08","07:51:00"
"78","2016-02-10 08:01:30",38.990551,-84.207497,"New Richmond","Clermont","OH","2016-02-10 07:56:00",15.8,88,"Light Snow","08:01:30","07:56:00"
"79","2016-02-10 08:08:36",40.008995,-83.002678,"Columbus","Franklin","OH","2016-02-10 07:53:00",16,81,"Light Snow","08:08:36","07:53:00"
"80","2016-02-10 08:11:22",39.077332,-84.225014,"Batavia","Clermont","OH","2016-02-10 08:16:00",15.8,84,"Light Snow","08:11:22","08:16:00"
"81","2016-02-10 08:50:54",39.955452,-82.795845,"Reynoldsburg","Franklin","OH","2016-02-10 08:51:00",16,77,"Light Snow","08:50:54","08:51:00"
"82","2016-02-10 09:03:53",40.224586,-82.929085,"Galena","Delaware","OH","2016-02-10 08:55:00",17.6,79,"Haze","09:03:53","08:55:00"
"83","2016-02-10 09:42:04",39.976398,-83.119225,"Columbus","Franklin","OH","2016-02-10 09:50:00",15.8,79,"Light Snow","09:42:04","09:50:00"
"84","2016-02-10 10:38:58",39.985603,-82.939247,"Columbus","Franklin","OH","2016-02-10 10:51:00",17.1,77,"Light Snow","10:38:58","10:51:00"
"85","2016-02-10 17:10:00",41.040714,-81.613144,"Barberton","Summit","OH","2016-02-10 16:54:00",19.9,81,"Light Snow","17:10:00","16:54:00"
"86","2016-02-10 18:09:00",41.083679,-81.579002,"Akron","Summit","OH","2016-02-10 18:10:00",19.9,78,"Light Snow","18:09:00","18:10:00"
"87","2016-02-10 18:41:44",40.766891,-82.42411,"Mansfield","Richland","OH","2016-02-10 18:52:00",16,77,"Overcast","18:41:44","18:52:00"
"88","2016-02-11 05:32:29",41.422199,-81.843018,"Cleveland","Cuyahoga","OH","2016-02-11 05:51:00",14,56,"Light Snow","05:32:29","05:51:00"
"89","2016-02-11 05:30:51",41.063995,-81.572945,"Akron","Summit","OH","2016-02-11 05:30:00",14,74,"Light Snow","05:30:51","05:30:00"
"90","2016-02-11 06:10:07",39.747753,-84.205582,"Dayton","Montgomery","OH","2016-02-11 05:56:00",7,87,"Scattered Clouds","06:10:07","05:56:00"
"91","2016-02-11 06:20:28",38.99408,-84.142021,"Bethel","Clermont","OH","2016-02-11 06:16:00",15.4,70,"Overcast","06:20:28","06:16:00"
"92","2016-02-11 06:29:00",41.420818,-81.694008,"Cleveland","Cuyahoga","OH","2016-02-11 06:53:00",17.1,59,"Overcast","06:29:00","06:53:00"
"93","2016-02-11 07:17:58",40.030342,-83.030197,"Columbus","Franklin","OH","2016-02-11 06:53:00",6.1,83,"Partly Cloudy","07:17:58","06:53:00"
"94","2016-02-11 07:18:39",39.858089,-82.827904,"Canal Winchester","Franklin","OH","2016-02-11 07:15:00",5,81,"Clear","07:18:39","07:15:00"
"95","2016-02-11 07:21:55",41.112324,-81.609924,"Akron","Summit","OH","2016-02-11 07:28:00",12,80,"Light Snow","07:21:55","07:28:00"
"96","2016-02-11 07:28:16",39.994061,-82.729416,"Pataskala","Licking","OH","2016-02-11 07:54:00",7,77,"Overcast","07:28:16","07:54:00"
"97","2016-02-11 07:29:06",41.355396,-81.819267,"Cleveland","Cuyahoga","OH","2016-02-11 07:51:00",15.1,51,"Mostly Cloudy","07:29:06","07:51:00"
"98","2016-02-11 07:53:55",39.687389,-84.237968,"Dayton","Montgomery","OH","2016-02-11 07:53:00",9,77,"Clear","07:53:55","07:53:00"
"99","2016-02-11 08:07:02",39.751038,-84.214325,"Dayton","Montgomery","OH","2016-02-11 07:58:00",7.5,87,"Scattered Clouds","08:07:02","07:58:00"
